City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,nemuro,43.3236,145.575,288.36,95,100,0.68,JP,1722447670
283,sitka,57.0531,-135.33,286.09,76,100,2.57,US,1722448033
284,kerikeri,-35.2268,173.9474,281.24,95,47,1.2,NZ,1722448034
285,uacu cungo,-11.3634,15.1208,294.96,46,7,2.35,AO,1722448036
286,moussoro,13.6408,16.4901,298.3,81,98,4.69,TD,1722448038
287,gasa,31.5,34.4667,301.08,72,0,3.82,PS,1722448039
288,south hedland,-20.4089,118.5983,295.11,33,79,2.57,AU,1722448040
289,santa quiteria,-4.3319,-40.1567,309.42,20,1,3.77,BR,1722448041
290,urucara,-2.5364,-57.76,310.87,23,4,2.42,BR,1722448042
291,bukama,-9.2,25.85,299.58,17,0,1.65,CD,1722448044
292,iwanai,42.9744,140.5089,291.22,95,100,1.05,JP,1722448045
293,pariaman,-0.619,100.12,298.18,91,90,2.06,ID,1722448046
294,sao felix do xingu,-6.6447,-51.995,310.57,18,0,2.3,BR,1722448048
295,northam,51.0333,-4.2167,295.03,83,97,2.58,GB,1722448049
296,waimea,20.0231,-155.6717,292.89,92,38,2.24,US,1722448050
297,korla,41.7597,86.1469,303.77,30,100,4.3,CN,1722448051
298,zeya,53.75,127.2667,285.5,87,2,2.55,RU,1722448052
299,sechura,-5.5569,-80.8222,297.35,59,23,6.63,PE,1722448053
300,guadalupe y calvo,26.1,-106.9667,296.52,50,1,3.1,MX,1722448055
301,taltal,-25.4,-70.4833,290.12,68,21,3.31,CL,1722448056
302,gulf shores,30.246,-87.7008,308.39,71,75,2.57,US,1722448058
303,weno,7.4515,151.8468,300.12,89,75,2.06,FM,1722448059
304,fale old settlement,-9.3852,-171.2468,300.38,74,100,10.28,TK,1722448060
305,morsbach,50.8667,7.75,296.83,82,98,1.65,DE,1722448061
306,dryden,49.7833,-92.7503,300.31,65,75,6.69,CA,1722448063
307,anloga,5.7947,0.8973,298.14,85,85,6.55,GH,1722448064
308,oral,51.2333,51.3667,294.14,64,40,3.0,KZ,1722448065
309,as sulayyil,20.4607,45.5779,312.29,11,99,5.17,SA,1722448066
310,aral,40.5156,81.2636,304.46,28,94,5.03,CN,1722448067
311,saint-francois,46.4154,3.9054,305.84,59,0,2.06,FR,1722448069
312,vuktyl,63.8567,57.3094,289.58,75,21,3.25,RU,1722448070
313,arenapolis,-14.4503,-56.8461,309.71,15,0,3.51,BR,1722448071
314,saldanha,-33.0117,17.9442,284.18,75,6,6.48,ZA,1722448072
315,camana,-16.6228,-72.7111,291.47,72,12,3.15,PE,1722448074
316,san agustin de valle fertil,-30.6335,-67.4682,289.9,32,89,2.8,AR,1722448075
317,polyarnyy,69.1989,33.4478,283.15,87,39,7.3,RU,1722448076
318,kasaragod,12.5,75.0,297.76,94,100,3.56,IN,1722448077
319,wooster,40.8051,-81.9351,305.68,59,20,3.09,US,1722448078
320,nuku'alofa,-21.1333,-175.2,292.34,94,20,2.57,TO,1722448079
321,sevan,40.5484,44.9487,286.08,90,43,1.07,AM,1722448081
322,garoowe,8.4054,48.4845,302.72,43,60,9.24,SO,1722448083
323,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,100,2.0,RU,1722448084
324,baikonur,45.6167,63.3167,305.36,17,0,3.04,KZ,1722448086
325,mandera,3.9366,41.867,303.44,31,72,4.87,KE,1722448087
326,sabang,5.8933,95.3214,302.24,73,95,4.48,ID,1722448088
